Chromosome Length: 20
Population Size: 100
Mutation Probability: 0.150000
Crossover Probability: 0.600000
Elitism Rate: 0.150000
Recombination Rate: 0.000000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.050000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.050000
-tournament_size: 5.000000


Test size: 100000
Snapshot Period: 1000
Evaluations: 100000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
86000;-0.000001;0.056261;-1.193273;-0.000032;-0.000016;-0.000008;-0.000000
87000;-0.000001;0.056266;-1.070777;-0.000031;-0.000015;-0.000007;-0.000000
88000;-0.000001;0.056315;-1.144539;-0.000030;-0.000015;-0.000007;-0.000000
89000;-0.000001;0.056231;-1.139053;-0.000030;-0.000014;-0.000007;-0.000000
90000;-0.000001;0.056295;-1.244301;-0.000029;-0.000014;-0.000007;-0.000000
91000;-0.000001;0.056318;-1.177277;-0.000028;-0.000014;-0.000006;-0.000000
92000;-0.000001;0.056290;-1.248332;-0.000027;-0.000013;-0.000006;-0.000000
93000;-0.000001;0.056302;-1.096487;-0.000026;-0.000013;-0.000006;-0.000000
94000;-0.000001;0.056268;-1.260786;-0.000026;-0.000012;-0.000006;-0.000000
95000;-0.000001;0.056328;-1.321195;-0.000025;-0.000012;-0.000006;-0.000000
96000;-0.000001;0.056270;-1.099883;-0.000024;-0.000012;-0.000006;-0.000000
97000;-0.000001;0.056279;-1.181541;-0.000024;-0.000011;-0.000005;-0.000000
98000;-0.000001;0.056303;-1.227817;-0.000023;-0.000011;-0.000005;-0.000000
99000;-0.000001;0.056307;-1.157011;-0.000022;-0.000011;-0.000005;-0.000000
100000;-0.000001;0.056366;-1.128645;-0.000022;-0.000010;-0.000005;-0.000000
DIVERSITY STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;17301.703125;350.437714;15771.188477;17066.140625;17301.593750;17537.380859;18927.455078
1000;11.076030;5.719542;0.321926;7.387089;10.814349;14.827566;67.247536
2000;9.045030;4.749259;0.361770;6.041349;8.840160;12.263019;44.720348
3000;6.536110;3.886286;0.221836;4.155755;6.354014;9.156422;42.800594
4000;3.786750;2.813307;0.049833;2.269144;3.558625;5.582680;29.553888
5000;1.928790;1.649031;0.004653;1.427169;2.016348;2.911390;25.124447
